Normalized_Radius,Density,Pressure,Temperature,Mass_Enclosed
0.3412776753461049,7.7627370074247,6290482650454548.0,6080639.016985553,1.3844113764196588e+33
0.34327987086177025,7.65223618824704,6179290045120071.0,6058693.055688476,1.3919085169070113e+33
0.3452820663774356,7.405481273969247,5930901210929667.0,6008514.571993679,1.3993249147833556e+33
0.3472842618931009,7.26415918073265,5788981539445031.0,5980012.0430359095,1.4066596603980804e+33
0.34928645740876624,7.149191105372086,5675424486072326.0,5956050.367120534,1.413913635602418e+33
0.3512886529244316,6.913645854786313,5442418982875623.0,5906119.025161374,1.4210880947441211e+33
0.35329084844009695,6.796634009675836,5327185468618026.0,5881510.106306329,1.42818216674814e+33
0.3552930439557623,6.67668131993938,5210771706005604.0,5855319.58017864,1.4351970286926718e+33
0.3572952394714276,6.4560219230405025,4996284717052512.0,5806510.049907192,1.4421337403269175e+33
0.35929743498709293,6.338478739912699,4882887852710730.0,5780435.327259989,1.4489916754497302e+33
0.3612996305027583,6.2511630873610615,4799752719123750.0,5760642.310768409,1.4557716860263273e+33
0.3633018260184236,6.11510347524513,4669938027588439.0,5729418.274961483,1.4624747154192917e+33
0.3653040215340889,5.9662749622521,4528404451246592.0,5694868.081470594,1.469101214048625e+33
0.36730621704975425,5.833529303083246,4403189117595829.5,5663491.699995053,1.47565164492935e+33
0.3693084125654196,5.707137496592091,4284789660190981.5,5633114.970230308,1.482126605314311e+33
0.37131060808108496,5.580198524295521,4166454667078540.5,5602198.7976616975,1.488526692174821e+33
0.3733128035967503,5.455492427240835,4050851500349443.5,5571379.587423469,1.4948524829269555e+33
0.3753149991124156,5.334547370531867,3939429891135386.0,5541011.852122082,1.501104570044824e+33
0.37731719462808094,5.216493549126162,3831307147051853.0,5510910.5675707385,1.507283566064573e+33
0.37931939014374627,5.100906068410215,3726037765997015.0,5480991.157794558,1.5133900857584272e+33
0.38132158565941165,4.987947374071967,3623752108625083.0,5451301.534567557,1.51942474511103e+33
0.383323781175077,4.877637161575723,3524443044320979.5,5421857.288161456,1.5253881628682966e+33
0.38532597669074226,4.769853197422885,3427966339155348.5,5392641.83609018,1.5312809605345563e+33
0.3873281722064076,4.664520348985051,3334222930644713.5,5363648.473298159,1.5371037656219186e+33
0.3893303677220729,4.561600616737876,3243149400176564.0,5334878.2806595415,1.542857210724076e+33
0.3913325632377383,4.461045442738768,3154672295948037.0,5306329.455692745,1.5485419366841766e+33
0.3933347587534036,4.362799433934074,3068711922956694.0,5277998.343105022,1.5541585900063112e+33
0.39533695426906895,4.266811017179122,2985194643566280.5,5249882.134050989,1.559707821965443e+33
0.3973391497847343,4.173030769977589,2904050386941273.5,5221978.476452268,1.5651902867970816e+33
0.3993413453003996,4.081409185572968,2825210524247072.5,5194284.817248677,1.5706066418255802e+33
0.401343540816065,3.9918967453963314,2748607492664711.5,5166798.522103742,1.575957545647035e+33
0.4033457363317303,3.904444203890393,2674176433857486.5,5139517.078792771,1.581243655482065e+33
0.40534793184739565,3.8190026435110878,2601854003918707.5,5112438.034810826,1.5864656275927814e+33
0.407350127363061,3.7355244375816534,2531579121674807.5,5085558.985074966,1.591624115975844e+33
0.40935232287872625,3.6539626298893797,2463291978333533.5,5058877.559547165,1.5967197730045532e+33
0.41135451839439163,3.574271268853762,2396935058274836.0,5032391.481764625,1.601753246870498e+33
0.41335671391005696,3.4964051501708138,2332452044424488.0,5006098.515504554,1.606725183781045e+33
0.4153589094257223,3.4203210661249823,2269788703848884.0,4979996.467284523,1.611636227126827e+33
