star_id,radius_fraction,beta,density_g_cm3,temperature_k,mean_molecular_weight,grad_ad,grad_rad,epsilon_erg_g_s,delta_n_rad,delta_n_mu,delta_n_conv,delta_n_nuc_global,delta_n_deg
mesa_model_0001_profile_01,0.07603231462834309,0.9996860915363776,0.0005008747818005828,296547.5222830205,0.6213292967839125,0.3955475002541129,761879.2737632652,7.107441442908374e-20,0.0004832429163546958,4.6165885748905566e-05,1689483.5127325798,0.11199300147368631,0.0015105807647182758
mesa_model_0001_profile_01,0.07803224468326009,0.999688780339374,0.0005002122025003229,296288.5262888469,0.6213302506629236,0.3955442666006032,772723.2931815922,6.999852376769487e-20,0.0004790930505492933,4.806994280954769e-05,1709821.4289996773,0.11199300147368631,0.0015105675813578679
mesa_model_0001_profile_01,0.0800321747381771,0.9996929985944922,0.000499551342590064,296029.14661587955,0.6213312101439278,0.3955410202419801,766389.6119730084,6.892813043383605e-20,0.0004725882359528577,4.9148930561671025e-05,1692128.2097881166,0.11199300147368631,0.0015105592093462039
mesa_model_0001_profile_01,0.0820321047930941,0.9996992127334555,0.0004989027461159778,295773.5143913461,0.6213321585181721,0.39553781594750065,745329.6523397809,6.787711716317616e-20,0.0004630106064309599,4.9338320052072505e-05,1642051.9898463052,0.11199300147368631,0.001510555849903923
mesa_model_0001_profile_01,0.08403203484801111,0.9997077469117014,0.0004982769571242354,295525.76074247435,0.6213330790769029,0.39553470848642164,711994.8364841763,6.685936669138409e-20,0.0004498614715707674,4.857358208738561e-05,1565193.8382624288,0.11199300147368631,0.0015105577414519838
mesa_model_0001_profile_01,0.08603196490292812,0.9997187896756116,0.0004976845196610086,295290.01679649187,0.6213339551113675,0.39553175262799994,668836.586608463,6.588876175412874e-20,0.0004328510252801154,4.6824737997042123e-05,1467107.7584644577,0.11199300147368631,0.001510565156656283
mesa_model_0001_profile_01,0.08803189495784512,0.999732365101128,0.0004971351860137774,295070.1153415019,0.6213347711319754,0.39552899910332545,618278.3089751502,6.497825657860792e-20,0.000411942734674,4.471183090259956e-05,1353239.369075769,0.11199300147368631,0.0015105783212778258
mesa_model_0001_profile_01,0.09003182501276213,0.9997476777663412,0.000496624178733454,294864.4142792078,0.6213355340222639,0.39552642453820136,562229.2832208817,6.412376613038862e-20,0.0003883615698471835,4.343342763917235e-05,1227864.947665032,0.11199300147368631,0.0015105960666493335
mesa_model_0001_profile_01,0.09203175506767913,0.9997633988612636,0.0004961339818372296,294666.4715602133,0.6213362702807742,0.3955239405887264,502148.04307032016,6.330626668651883e-20,0.0003641533054112146,4.364261441054396e-05,1094241.8837749918,0.11199300147368631,0.0015106159500773147
mesa_model_0001_profile_01,0.09403168512259615,0.9997783683823213,0.0004956466477691726,294469.6825159437,0.6213370070705914,0.39552145670986855,439477.8512738268,6.250622841112918e-20,0.0003411035222426653,4.546270133829467e-05,955566.3600350003,0.11199300147368631,0.001510635430839512
