star_id,radius_fraction,radius_cm,mass_enclosed_g,density_g_cm3,pressure_dyn_cm2,temperature_k,mean_molecular_weight,epsilon_erg_g_s,grad_ad,grad_rad
mesa_model_0050_profile_02,0.10605881102242115,213664253784.0834,2.03267257480644e+31,0.0004925314228741396,19191702106.573826,293253.67404785164,0.6213417014661778,5.802108867294215e-20,0.3955056532666032,0.3825355868213792
mesa_model_0050_profile_02,0.10805867945413833,217693154278.158,2.1473312737464476e+31,0.0004916712813961692,19136494993.77631,292921.43178038555,0.6213430266033685,5.690700344742034e-20,0.3955012173773037,0.38293683666911693
mesa_model_0050_profile_02,0.1100585478858555,221722054772.2326,2.2660953222995294e+31,0.0004906892295087012,19073681427.673622,292543.5821726946,0.6213445452960459,5.567148097050434e-20,0.3954961399675415,0.38411588147272446
mesa_model_0050_profile_02,0.11205841631757268,225750955266.3072,2.38902980565171e+31,0.0004895682184526172,19002191661.919193,292113.7472491564,0.6213462838782591,5.429565776186405e-20,0.3954903334042386,0.38618345404462545
mesa_model_0050_profile_02,0.11405828474928988,229779855760.38177,2.51619970657292e+31,0.0004882917592971634,18920991039.8267,291625.75494485605,0.6213482678616193,5.276131914812739e-20,0.3954837128386935,0.38924237593021227
mesa_model_0050_profile_02,0.11605815318100705,233808756254.45636,2.6476644613363533e+31,0.0004868736814529208,18830945237.675034,291084.5845968224,0.6213504782173802,5.1085387565904394e-20,0.3954763442142697,0.3929670221912055
mesa_model_0050_profile_02,0.11805802161272422,237837656748.53094,2.783475236669398e+31,0.0004853730174424079,18735753231.98202,290511.84171779704,0.6213528295093759,4.933717310382663e-20,0.39546851829766505,0.396392975874047
mesa_model_0050_profile_02,0.1200578900444414,241866557242.60553,2.9236825248898633e+31,0.00048385248625559856,18639345064.532314,289930.4877416745,0.6213552308856904,4.759025824164982e-20,0.39546054419068455,0.3985037243646379
mesa_model_0050_profile_02,0.12205775847615857,245895457736.6801,3.06833681831556e+31,0.0004823748068824667,18545650777.11058,289363.48410234944,0.6213575914944074,4.591822545912972e-20,0.3954527309951334,0.39828275504887917
mesa_model_0050_profile_02,0.12405762690787575,249924358230.7547,3.2174886092675817e+31,0.0004810026980484158,18458600394.963284,288833.7921371795,0.6213598204839981,4.439465692846575e-20,0.3954453878115166,0.39471356746715
mesa_model_0050_profile_02,0.12605749533959296,253953258724.8293,3.37118863446855e+31,0.0004797791794296348,18380892564.42766,288357.18535090657,0.6213618558451068,4.307023517291898e-20,0.3954387269353873,0.3876846443844356
mesa_model_0050_profile_02,0.1280573637713101,257982159218.9039,3.5294885394286677e+31,0.0004786740213597008,18310647147.625233,287922.70986624656,0.6213637428156972,4.1910492198459896e-20,0.39543260070081004,0.380449576472919
mesa_model_0050_profile_02,0.13005723220302728,262011059712.9785,3.6924401808456518e+31,0.00047763997221135637,18244919971.38638,287513.2007952245,0.6213655515562727,4.086117240998692e-20,0.39542677779262986,0.3770439509792092
mesa_model_0050_profile_02,0.13205710063474446,266039960207.05307,3.860095415417222e+31,0.000476629780357344,18180766862.54149,287111.4932498654,0.621367352227337,3.986802021239849e-20,0.39542102689569164,0.3815033551499151
mesa_model_0050_profile_02,0.13405696906646164,270068860701.12766,4.0325060976271498e+31,0.00047559621522057417,18115244961.59892,286700.4299856502,0.6213692149589104,3.887680435764909e-20,0.3954151167971844,0.3978563770849557
mesa_model_0050_profile_02,0.13605683749817885,274097761195.20227,4.209722548159869e+31,0.0004745066295673279,18046321511.872265,286268.1490667964,0.6213711887625814,3.785016099165155e-20,0.39540888718731027,0.42528266690444844
mesa_model_0050_profile_02,0.13805670592989602,278126661689.27686,4.391790876335159e+31,0.00047336841776203194,17974462632.95282,285817.32792748144,0.6213732646648968,3.679703919374499e-20,0.39540237243522025,0.4496481083932899
mesa_model_0050_profile_02,0.1400565743616132,282155562183.35144,4.57875647504346e+31,0.00047219578596961975,17900559548.51072,285353.1174118421,0.6213754238280991,3.5734266711403284e-20,0.39539564002847777,0.4545536727337941
mesa_model_0050_profile_02,0.14205644279333038,286184462677.426,4.770664737175211e+31,0.0004710029403550246,17825503482.21608,284880.66836401506,0.6213776474144297,3.467867129210036e-20,0.39538875745464624,0.4236003311082746
mesa_model_0050_profile_02,0.14405631122504756,290213363171.5006,4.967560935090927e+31,0.00046980352883542925,17750150813.151306,284404.9287771978,0.6213799173767596,3.364642910274549e-20,0.39538178945131014,0.34294979779580004
mesa_model_0050_profile_02,0.14605617965676473,294242263665.5752,5.169488291360641e+31,0.00046860170549534576,17674765336.39827,283927.3968628816,0.6213822291137686,3.26426352143637e-20,0.39537475398857547,0.24231302922871673
mesa_model_0050_profile_02,0.14805604808848188,298271164159.6498,5.376488314325303e+31,0.00046739368477655043,17599115272.130554,283446.68579811417,0.6213845892687982,3.166311763529918e-20,0.3953676299251499,0.18782098586706295
mesa_model_0050_profile_02,0.15005591652019906,302300064653.72437,5.588602459581314e+31,0.0004661754368285962,17522953592.34242,282961.31999127887,0.6213870048311724,3.0703419238730625e-20,0.39536039491633534,0.24672522314607714
mesa_model_0050_profile_02,0.15205578495191624,306328965147.79895,5.805872164785458e+31,0.00046494295285306943,17446034586.322937,282469.83154649957,0.6213894827561072,2.9759106906833816e-20,0.39535302671650013,0.4849348849909955
mesa_model_0050_profile_02,0.15405565338363345,310357865641.8736,6.028337322249717e+31,0.0004636940375035339,17368226017.00198,281971.4154898729,0.6213920270606927,2.882781569080749e-20,0.39534551161371484,0.8527218859060373
mesa_model_0050_profile_02,0.15605552181535062,314386766135.9482,6.256035111457191e+31,0.0004624296789204492,17289594848.530647,281466.43059676496,0.621394636604184,2.7910811280579814e-20,0.39533785087683204,1.0973587728247662
mesa_model_0050_profile_02,0.1580553902470678,318415666630.02277,6.489002437014616e+31,0.0004611511878098894,17210228229.048973,280955.3535589994,0.6213973097232203,2.7009727239185112e-20,0.3953300472926267,0.9455492579731988
mesa_model_0050_profile_02,0.16005525867878498,322444567124.09735,6.727276194276426e+31,0.0004598598715080719,17130213088.318476,280438.65971905866,0.6214000447573926,2.6126192730537085e-20,0.3953221036268602,0.12709724342300882
