star_id,radius_fraction,n_local
mesa_model_0001_profile_01,0.23402678896678658,1.509749978545058
mesa_model_0001_profile_01,0.23602671902170358,1.5097725008027363
mesa_model_0001_profile_01,0.23802664907662058,1.5098131581081855
mesa_model_0001_profile_01,0.24002657913153758,1.5098740941389324
mesa_model_0001_profile_01,0.2420265091864546,1.5099564649101047
mesa_model_0001_profile_01,0.2440264392413716,1.510060075933431
mesa_model_0001_profile_01,0.2460263692962886,1.5101832919963345
mesa_model_0001_profile_01,0.24802629935120563,1.5103229070264
mesa_model_0001_profile_01,0.2500262294061226,1.510474730443334
mesa_model_0001_profile_01,0.2520261594610396,1.5106339836072324
mesa_model_0001_profile_01,0.2540260895159566,1.5107960974294872
mesa_model_0001_profile_01,0.2560260195708737,1.5109570348412644
mesa_model_0001_profile_01,0.2580259496257907,1.511113851011375
mesa_model_0001_profile_01,0.26002587968070767,1.5112646554579081
mesa_model_0001_profile_01,0.26202580973562467,1.5114076976494006
mesa_model_0001_profile_01,0.26402573979054167,1.5115414261379236
mesa_model_0001_profile_01,0.26602566984545867,1.5116639067298416
mesa_model_0001_profile_01,0.26802559990037567,1.5117729117488248
mesa_model_0001_profile_01,0.2700255299552927,1.5118669438480785
mesa_model_0001_profile_01,0.2720254600102097,1.5119456512171077
mesa_model_0001_profile_01,0.2740253900651267,1.5120105121217091
mesa_model_0001_profile_01,0.27602532012004377,1.5120648292077092
mesa_model_0001_profile_01,0.2780252501749607,1.5121130089328179
mesa_model_0001_profile_01,0.28002518022987777,1.5121598003533623
mesa_model_0001_profile_01,0.28202511028479477,1.5122095646434073
mesa_model_0001_profile_01,0.28402504033971177,1.5122656038401732
mesa_model_0001_profile_01,0.28602497039462876,1.5123292986610362
mesa_model_0001_profile_01,0.2880249004495458,1.5124003578861058
mesa_model_0001_profile_01,0.29002483050446276,1.5124773111448706
mesa_model_0001_profile_01,0.2920247605593798,1.512557854251213
mesa_model_0001_profile_01,0.2940246906142968,1.5126393269102252
mesa_model_0001_profile_01,0.2960246206692138,1.5127187343000528
mesa_model_0001_profile_01,0.2980245507241308,1.5127927567171653
mesa_model_0001_profile_01,0.3000244807790478,1.5128581679565263
mesa_model_0001_profile_01,0.3020244108339648,1.5129125971226147
mesa_model_0001_profile_01,0.30402434088888186,1.512955175932903
mesa_model_0001_profile_01,0.3060242709437988,1.5129867748436365
mesa_model_0001_profile_01,0.30802420099871586,1.5130101034040604
mesa_model_0001_profile_01,0.31002413105363286,1.513029517338199
mesa_model_0001_profile_01,0.31202406110854985,1.5130507174628642
mesa_model_0001_profile_01,0.31402399116346685,1.5130803747105441
mesa_model_0001_profile_01,0.3160239212183839,1.5131258207758886
mesa_model_0001_profile_01,0.31802385127330085,1.5131959581951537
mesa_model_0001_profile_01,0.3200237813282179,1.5132990901180559
mesa_model_0001_profile_01,0.32202371138313485,1.5134393669059187
